,"NSE_SYMBOL","TWS_SYMBOL","TABLE_NAME","COMPANY_NAME","YAHOO_NAME","SYMBOL","FACE_VALUE"
150,"NEYVELILIG ","NLC","NEYVELILIG ","Neyveli Lignite Corporation Limited ",,"NEYVELILIG",10
151,"NHPC ","NHPC","NHPC ","NHPC Limited ","NHPC.NS","NHPC",10
152,"NMDC ","NMDC","NMDC ","NMDC Limited ","NMDC.NS","NMDC",1
153,"NTPC ","NTPC","NTPC ","NTPC Limited ","NTPC.NS","NTPC",10
154,"OFSS ","OFSS","OFSS ","Oracle Financial Services Software Limited ","OFSS.NS","OFSS",5
155,"OIL ","OINL","OIL ","Oil India Limited ","OIL.NS","OIL",10
156,"ONGC ","ONGC","ONGC ","Oil & Natural Gas Corporation Limited ","ONGC.NS","ONGC",5
157,"ONMOBILE ","ONMB","ONMOBILE ","OnMobile Global Limited ","ONMOBILE.NS","ONMOBILE",10
158,"OPTOCIRCUI ","OPTC","OPTOCIRCUI ","Opto Circuits (India) Limited ","OPTOCIRCU.NS","OPTOCIRCUI",10
159,"ORBITCORP ","ORB","ORBITCORP ","Orbit Corporation Limited ","ORBITCORP.NS","ORBITCORP",10
160,"ORCHIDCHEM ","OCP","ORCHIDCHEM ","Orchid Chemicals & Pharmaceuticals Limited ","ORCHIDCHE.NS","ORCHIDCHEM",10
161,"ORIENTBANK ","OBC","ORIENTBANK ","Oriental Bank of Commerce ","ORIENTBAN.NS","ORIENTBANK",10
162,"PANTALOONR ","PF","PANTALOONR ","Pantaloon Retail (India) Limited ","PANTALOON.NS","PANTALOONR",2
163,"PATELENG ","PEC","PATELENG ","Patel Engineering Limited ","PATELENG.NS","PATELENG",1
164,"PATNI ","PEC","PATNI ","Patni Computer Systems Limited ","PATNI.NS","PATNI",2
165,"PETRONET ","PLNG","PETRONET ","Petronet LNG Limited ","PETRONET.NS","PETRONET",10
166,"PFC ","POWF","PFC ","Power Finance Corporation Limited ","PFC.NS","PFC",10
167,"PIRHEALTH ","PIHC","PIRHEALTH ","Piramal Healthcare Limited ","PIRHEALTH.NS","PIRHEALTH",2
168,"PNB ","PNB","PNB ","Punjab National Bank ","PNB.NS","PNB",10
