"SYMBOL","EX_DATE","DIVIDEND"
"DENABANK","2008-06-26","1"
"DENABANK","2007-06-14","0.8"
"DIVISLAB","2009-06-15","6"
"DIVISLAB","2010-07-02","6"
"DIVISLAB","2011-06-16","10"
"DIVISLAB","2006-08-23","2"
"DIVISLAB","2007-03-23","2"
"DIVISLAB","2008-06-26","4"
"DIVISLAB","2005-08-11","1.6"
"DLF","2010-09-17","2"
"DLF","2008-09-19","2"
"DLF","2007-09-18","2"
"DLF","2007-11-05","2"
"DRREDDY","2009-07-03","6.25"
"DRREDDY","2011-06-30","11.25"
"DRREDDY","2010-07-02","11.25"
"DRREDDY","2006-07-07","5"
"DRREDDY","2008-07-04","3.75"
"DRREDDY","2007-07-06","3.75"
"EDUCOMP","2010-09-16","1.75"
"EDUCOMP","2009-09-17","2.5"
"EDUCOMP","2006-08-17","0.3"
"EDUCOMP","2007-08-31","0.4"
"EDUCOMP","2008-06-26","0.5"
"EKC","2009-07-16","1.2"
"EKC","2010-07-15","1.2"
"EKC","2006-07-20","0.7"
"EKC","2007-06-28","1"
"EKC","2008-07-24","1.2"
"ESCORTS","2011-02-10","1.5"
"EXIDEIND","2010-07-02","0.4"
"EXIDEIND","2009-10-27","0.6"
"EXIDEIND","2010-10-21","0.9"
"EXIDEIND","2009-07-08","0.2"
"EXIDEIND","2005-07-21","0.25"
"EXIDEIND","2006-07-12","0.3"
"EXIDEIND","2007-07-11","0.35"
"EXIDEIND","2008-07-16","0.4"
"EXIDEIND","2009-01-23","0.4"
"FEDERALBNK","2010-09-02","5"
"FEDERALBNK","2005-09-08","2.5"
"FEDERALBNK","2006-09-07","3.5"
"FEDERALBNK","2008-07-10","4"
"FEDERALBNK","2007-08-16","4"
"FINANTECH","2009-09-17","2"
"FINANTECH","2010-09-22","2"
"FINANTECH","2010-11-18","2"
"FINANTECH","2007-09-21","2"
"FINANTECH","2008-11-14","2"
"FINANTECH","2009-02-11","2"
"FINANTECH","2007-04-26","3.6"
"FINANTECH","2005-09-16","0.4"
"FINANTECH","2006-09-22","5.2"
"FINANTECH","2007-11-15","7"
"FINANTECH","2006-11-16","0.8"
"FINANTECH","2006-08-17","0.8"
"FINANTECH","2007-02-14","0.8"
"FINANTECH","2008-08-21","8"
"FINANTECH","2008-02-01","8"
"FINANTECH","2007-08-16","1"
"GAIL","2010-12-27","2"
"GAIL","2010-09-02","5.5"
"GAIL","2007-08-16","2"
"GAIL","2006-07-28","2"
"GAIL","2007-03-09","2.5"
"GAIL","2005-09-14","4"
"GAIL","2009-01-30","4"
"GAIL","2007-12-19","4"
"GAIL","2006-12-27","5.5"
"GAIL","2008-08-21","6"
"GESHIP","2009-02-10","2.5"
"GESHIP","2008-10-31","2.5"
"GESHIP","2008-02-05","3.5"
"GESHIP","2010-11-02","3.5"
"GESHIP","2007-10-25","4"
"GESHIP","2008-05-08","7.5"
"GESHIP","2010-07-20","8"
"GESHIP","2007-07-10","4.5"
"GLAXO","2006-03-24","28"
"GLAXO","2008-04-02","36"
"GLAXO","2011-03-14","40"
"GLAXO","2009-03-18","40"
"GLAXO","2007-03-14","31"
"GMDCLTD","2009-09-17","2"
"GMDCLTD","2010-09-17","2.5"
"GMDCLTD","2008-09-01","2"
"GMDCLTD","2007-09-14","2"
"GMDCLTD","2005-09-14","1"
"GMDCLTD","2006-12-13","1.2"
"GODREJIND","2007-07-18","1"
"GODREJIND","2009-07-20","1.25"
"GODREJIND","2010-07-16","1.5"
"GODREJIND","2006-07-13","5"
"GODREJIND","2008-07-18","1.25"
"GRASIM","2005-06-29","16"
"GRASIM","2007-03-15","27.5"
"GSPL","2009-11-26","0.75"
"GSPL","2010-09-13","1"
"GSPL","2006-09-15","0.25"
"GSPL","2008-09-15","0.5"
"GSPL","2007-09-10","0.5"
"GTL","2007-06-11","2.5"
"GTL","2006-09-26","10"
"GTL","2008-05-30","3"
"GTOFFSHORE","2009-09-10","2.5"
"GTOFFSHORE","2010-07-29","2.5"
"GTOFFSHORE","2008-06-25","8"
"GTOFFSHORE","2007-09-07","8"
"GVKPIL","2006-11-06","0.25"
"HAVELLS","2010-02-09","1.25"
"HAVELLS","2009-08-12","2.5"
"HAVELLS","2010-09-06","2.5"
"HAVELLS","2007-06-20","2.5"
"HAVELLS","2008-06-26","2.5"
"HAVELLS","2005-06-24","2.5"
"HAVELLS","2006-06-05","2.5"
"HCC","2011-05-30","0.4"
"HCC","2006-05-24","0.7"
"HCC","2007-05-25","0.75"
"HCC","2009-05-27","0.8"
"HCC","2010-05-28","0.8"
"HCC","2008-05-28","0.8"
"HCC","2005-05-24","6"
"HCLTECH","2009-12-02","1"
"HCLTECH","2007-11-30","2"
"HCLTECH","2011-01-24","2"
"HCLTECH","2008-01-23","2"
"HCLTECH","2011-04-25","2"
"HCLTECH","2007-04-23","2"
"HCLTECH","2010-10-22","2.5"
"HCLTECH","2006-12-04","4"
"HCLTECH","2009-01-28","2"
"HCLTECH","2008-04-21","2"
"HCLTECH","2005-12-06","4"
"HCLTECH","2008-10-22","6"
"HDFC","2005-06-29","17"
"HDFC","2006-06-30","20"
"HDFC","2007-06-12","22"
"HDFC","2008-06-27","25"
"HDFC","2009-07-06","30"
"HDFC","2010-06-29","36"
"HDFCBANK","2006-05-11","5.5"
"HDFCBANK","2007-05-17","7"
"HDFCBANK","2008-04-29","8.5"
"HDFCBANK","2009-06-22","10"
"HDFCBANK","2010-06-10","12"
"HDFCBANK","2011-06-02","16.5"
"HDFCBANK","2005-05-26","4.5"
"HDIL","2008-07-10","3"
"HDIL","2007-08-16","2"
"HEROHONDA","2006-08-14","20"
"HEROHONDA","2009-08-28","20"
"HEROHONDA","2010-08-30","30"
"HEROHONDA","2011-04-20","70"
"HEROHONDA","2010-04-13","80"
"HEROHONDA","2005-07-20","20"
"HEROHONDA","2007-07-10","17"
"HEROHONDA","2008-09-09","19"
"HEXAWARE","2011-05-26","0.5"
"HEXAWARE","2010-08-12","0.6"
"HEXAWARE","2009-08-13","0.6"
"HEXAWARE","2010-04-20","0.8"
"HEXAWARE","2011-01-20","1"
"HEXAWARE","2011-02-24","1.4"
"HEXAWARE","2009-04-27","0.5"
"HEXAWARE","2008-08-13","0.5"
"HEXAWARE","2006-06-22","0.6"
"HEXAWARE","2007-04-18","0.8"
"HEXAWARE","2006-08-02","0.8"
"HEXAWARE","2007-08-02","0.8"
"HINDALCO","2010-08-24","1.35"
"HINDALCO","2009-09-10","1.35"
"HINDALCO","2005-06-29","20"
"HINDALCO","2007-03-16","1.7"
"HINDALCO","2008-08-28","1.85"
"HINDOILEXP","2010-08-23","0.5"
