"SYMBOL","PURPOSE","VALUE","EX_DATE"
"BAJAJHLDNG","ANNUAL GENERAL MEETING / DIVIDEND RS 30 PER SHARE","30","2010-07-08"
"BAJAJHLDNG","ANNUAL GENERAL MEETING AND DIVIDEND RS.35/- PER SHARE","35","2011-06-29"
"BAJAJHLDNG","AGM/DIV-RS.40/- PER SH","40","2007-06-28"
"BAJAJHLDNG","AGM/DIV-RS.40/- PER SH","40","2006-06-29"
"BAJAJHLDNG","AGM/DIVIDEND - 200%","200.00%","2008-06-27"
"BALRAMCHIN","AGM/DIV-RS.3/- PER SHARE","3","2010-01-12"
"BALRAMCHIN","AGM/DIVIDEND - 150%","150.00%","2006-12-22"
"BALRAMCHIN","AGM/DIVIDEND-160%","160.00%","2005-07-11"
"BALRAMCHIN","INTERIM DIVIDEND-200%    PURPOSE REVISED","200.00%","2006-05-16"
"BALRAMCHIN","AGM / DIVIDEND - 50%","50.00%","2009-01-16"
"BANKBARODA","AGM/DIV.RS.9/- PER SHARE","900.00%","2009-06-18"
"BANKBARODA","ANNUAL GENERAL MEETING AND DIVIDEND RS.15/- PER SHARE","15","2010-06-24"
"BANKBARODA","ANNUAL GENERAL MEETING AND DIVIDEND RS.16.50 PER SHARE","16.5","2011-06-23"
"BANKBARODA","AGM/DIVIDEND-30%","30.00%","2007-06-21"
"BANKBARODA","INTERIM DIVIDEND-30%     PURPOSE REVISED","30.00%","2007-03-22"
"BANKBARODA","DIVIDEND-50%","50.00%","2006-06-29"
"BANKBARODA","AGM/DIVIDEND - 80%","80.00%","2008-07-17"
"BANKINDIA","AGM/DIV-RS.5/- PER SHARE","5","2009-07-02"
"BANKINDIA","ANNUAL GENERAL MEETING AND DIVIDEND RS.7/- PER SHARE","7","2010-07-08"
"BANKINDIA","AGM/DIVIDEND-10%","10.00%","2005-06-30"
"BANKINDIA","AGM/DIVIDEND-15%","15.00%","2007-06-29"
"BANKINDIA","DIVIDEND -20%","20.00%","2006-12-19"
"BANKINDIA","AGM/DIVIDEND-30%","30.00%","2006-07-04"
"BANKINDIA","INTERIM DIVIDEND - 30%   PURPOSE REVISED","30.00%","2009-03-13"
"BANKINDIA","AGM/DIVIDEND - 40%","40.00%","2008-07-03"
"BATAINDIA","AGM/DIV-RS.3/- PER SHARE","3","2010-05-06"
"BATAINDIA","ANNUAL GENERAL MEETING AND DIVIDEND RS.4/- PER SHARE","4","2011-06-10"
"BATAINDIA","AGM/FIN DIV-15%+AD DIV-5%BC DATES REVISED","20.00%","2008-05-29"
"BATAINDIA","AGM/DIVIDEND - 25%","25.00%","2009-05-07"
"BEL","INT DIV-RS.6 PER SHARE   PURPOSE REVISED","6","2009-01-28"
"BEL","INTERIM DIVIDEND-RS.6/- PER SHARE (PURPOSE REVISED)","6","2011-02-02"
"BEL","AGM/DIV-RS.12.70 PR SHARE","12.7","2009-09-14"
"BEL","ANNUAL GENERAL MEETING AND DIVIDEND RS.13.20 PER SHARE","13.2","2010-09-13"
"BEL","AGM/DIVIDEND-106%","106.00%","2006-09-01"
"BEL","AGM/FINAL DIVIDEND-140%","140.00%","2007-09-07"
"BEL","AGM/DIVIDEND - 147%","147.00%","2008-09-12"
"BEL","AGM/DIVIDEND-72%","72.00%","2005-08-31"
"BEML","ANNUAL GENERAL MEETING AND DIVIDEND RS.10/- PER SHARE","10","2010-08-09"
"BEML","INTERIM DIVIDEND-40%","40.00%","2007-02-13"
"BEML","INTERIM DIVIDEND - 55%","55.00%","2008-03-04"
"BEML","AGM/DIVIDEND - 65%","65.00%","2008-09-25"
"BEML","AGM/DIVIDEND-70%","70.00%","2006-09-18"
"BEML","2ND INTERIM DIVIDEND-80%","80.00%","2007-07-11"
"BEML","AGM/DIVIDEND-85%","85.00%","2005-09-19"
"BGRENERGY","AGM/DIV-RS.3/- PER SHARE","3","2009-09-07"
"BGRENERGY","ANNUAL GENERAL MEETING AND DIVIDEND RS.7/- PER SHARE","7","2010-09-16"
"BGRENERGY","AGM/DIVIDEND - 20%","20.00%","2008-09-11"
