INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BEML,30-Jun-2011,0,XX,646.9,653.2,646.9,649.2,649.2,54,87.93,22000,8000,20-MAY-2011,
FUTSTK,BEML,28-Jul-2011,0,XX,0,0,0,724.55,655.2,0,0,0,0,20-MAY-2011,
FUTSTK,BGRENERGY,26-May-2011,0,XX,475.1,482.95,470,480.85,480.85,1500,1796.63,1171000,-46750,20-MAY-2011,
FUTSTK,BGRENERGY,30-Jun-2011,0,XX,477.7,485.95,475.05,482.6,482.6,489,589.46,138000,69750,20-MAY-2011,
FUTSTK,BGRENERGY,28-Jul-2011,0,XX,0,0,0,497,488.85,0,0,500,0,20-MAY-2011,
FUTSTK,BHARATFORG,26-May-2011,0,XX,334.95,335,326.5,329.75,329.75,866,2885.23,4514000,-610000,20-MAY-2011,
FUTSTK,BHARATFORG,30-Jun-2011,0,XX,337,337.5,329.6,332.3,332.3,621,2088.64,911000,577000,20-MAY-2011,
FUTSTK,BHARATFORG,28-Jul-2011,0,XX,0,0,0,360.75,335,0,0,0,0,20-MAY-2011,
FUTSTK,BHARTIARTL,26-May-2011,0,XX,367.9,378.5,366,374.8,374.8,4287,16077.91,11145000,-57000,20-MAY-2011,
FUTSTK,BHARTIARTL,30-Jun-2011,0,XX,368.5,380.3,368.5,376.75,376.75,963,3635.61,1446000,528000,20-MAY-2011,
FUTSTK,BHARTIARTL,28-Jul-2011,0,XX,380,380,375.7,375.7,380.6,5,18.93,12000,3000,20-MAY-2011,
FUTSTK,BHEL,26-May-2011,0,XX,2067.05,2109,2058.3,2072.85,2072.85,6038,15750.43,2163125,38625,20-MAY-2011,
FUTSTK,BHEL,30-Jun-2011,0,XX,2069,2114.4,2068.5,2081.25,2081.25,1246,3257.75,964625,92250,20-MAY-2011,
FUTSTK,BHEL,28-Jul-2011,0,XX,2083.35,2122.6,2081,2095,2095,41,107.79,5500,4500,20-MAY-2011,
FUTSTK,BHUSANSTL,26-May-2011,0,XX,445.9,457.95,441.05,454.45,454.45,542,1222.51,656500,-33000,20-MAY-2011,
FUTSTK,BHUSANSTL,30-Jun-2011,0,XX,450,457,443.3,453.85,453.85,35,78.76,72000,4000,20-MAY-2011,
FUTSTK,BHUSANSTL,28-Jul-2011,0,XX,0,0,0,468.05,461.6,0,0,500,0,20-MAY-2011,
FUTSTK,BIOCON,26-May-2011,0,XX,330,340.5,330,338.9,338.9,634,2144.64,1555000,-84000,20-MAY-2011,
FUTSTK,BIOCON,30-Jun-2011,0,XX,338.45,343,336,341.25,341.25,68,231.63,161000,34000,20-MAY-2011,
FUTSTK,BIOCON,28-Jul-2011,0,XX,0,0,0,335.9,344.55,0,0,8000,0,20-MAY-2011,
FUTSTK,BOMDYEING,26-May-2011,0,XX,331.4,344.7,330.65,341.9,341.9,451,766.29,573500,-33000,20-MAY-2011,
FUTSTK,BOMDYEING,30-Jun-2011,0,XX,334.5,345.4,334.5,344.65,344.65,42,71.57,33000,8000,20-MAY-2011,
FUTSTK,BOMDYEING,28-Jul-2011,0,XX,0,0,0,410.55,347.8,0,0,0,0,20-MAY-2011,
FUTSTK,BOSCHLTD,26-May-2011,0,XX,6880.5,6880.5,6880.5,6880.5,6886.55,1,8.6,10375,-125,20-MAY-2011,
FUTSTK,BOSCHLTD,30-Jun-2011,0,XX,0,0,0,6991,6950.2,0,0,125,0,20-MAY-2011,
FUTSTK,BOSCHLTD,28-Jul-2011,0,XX,0,0,0,6950.15,7000.8,0,0,0,0,20-MAY-2011,
FUTSTK,BPCL,26-May-2011,0,XX,621,631.2,618.15,626.45,626.45,1689,5288.37,1127500,13000,20-MAY-2011,
FUTSTK,BPCL,30-Jun-2011,0,XX,622.6,634.85,622.6,630.8,630.8,273,860.37,196500,51000,20-MAY-2011,
FUTSTK,BPCL,28-Jul-2011,0,XX,0,0,0,649.2,637,0,0,0,0,20-MAY-2011,
FUTSTK,BRFL,26-May-2011,0,XX,287.15,289.1,287.15,288.45,288.45,179,516.19,5071000,-34000,20-MAY-2011,
FUTSTK,BRFL,30-Jun-2011,0,XX,286.95,288,286.3,287.85,287.85,34,97.78,69000,8000,20-MAY-2011,
FUTSTK,BRFL,28-Jul-2011,0,XX,0,0,0,286.6,292.75,0,0,2000,0,20-MAY-2011,
FUTSTK,CAIRN,26-May-2011,0,XX,341.4,342,338.4,340.4,340.4,1169,3979.53,9232000,-451000,20-MAY-2011,
FUTSTK,CAIRN,30-Jun-2011,0,XX,342.1,344.6,340.75,342.95,342.95,710,2435.32,6153000,526000,20-MAY-2011,
FUTSTK,CAIRN,28-Jul-2011,0,XX,344.65,345.7,344.6,344.6,346.05,4,13.79,6000,2000,20-MAY-2011,
FUTSTK,CANBK,26-May-2011,0,XX,521,533.4,520.25,524.6,524.6,2262,5959.51,1958000,-64500,20-MAY-2011,
FUTSTK,CANBK,30-Jun-2011,0,XX,519.25,530.3,519.25,523,523,341,894.81,373500,87000,20-MAY-2011,
FUTSTK,CANBK,28-Jul-2011,0,XX,523.85,525.35,520.05,520.05,532.5,5,13.07,9500,1500,20-MAY-2011,
